Name	Address	Public
aFishCity	00168670	
aCityOfForever	001696D8	
EigthLevelBlock	00180B00	
Pal_180B4E	00180B4E	
Pal_18124E	0018124E	
Pal_18174E	0018174E	
aVortexFuture	00183E14	
aGravitorbox	0018650E	
NinethLevelBlock	00193920	
Pal_19396E	0019396E	
Pal_193E6E	00193E6E	
Pal_193EEE	00193EEE	
Pal_1940EE	001940EE	
Pal_19416E	0019416E	
Pal_1941EE	001941EE	
aLunarBay	00195BAA	
aDarkSea	0019705C	
aTrance	00197065	
aNewMachine	00199DC8	
aInside	0019AFBC	
aInter	0019B730	
aInnuendo	0019BDFC	
aTrans	0019C4A8	
TenthLevelBlock	001B3ECC	
Pal_1B3F1A	001B3F1A	
aVortexQueen	001B4208	
Pal_1C822A	001C822A	
CoralBG_block	001C9FE0	
Pal_1CA02E	001CA02E	
Password_Level_Title_Etc_Palettes	001CA20E	
Sega_Screen_Palette	001D1FB6	
Title_Screen_Palette	001D3E52	
EleventhLevelBlock	001D7A44	
Pal_1D7A92	001D7A92	
aBigWater	001D7C92	
aThePod	001D812A	
LastLevelBlock	001DBF70	
aTmachine	001DCFC6	
Z80_RAM	00A00000	
Z80_YM2612	00A04000	
IO_PCBVER	00A10000	
IO_CT1_DATA	00A10002	
IO_CT2_DATA	00A10004	
IO_EXT_DATA	00A10006	
IO_CT1_CTRL	00A10008	
IO_CT2_CTRL	00A1000A	
IO_EXT_CTRL	00A1000C	
IO_CT1_RX	00A1000E	
IO_CT1_TX	00A10010	
IO_CT1_SMODE	00A10012	
IO_CT2_RX	00A10014	
IO_CT2_TX	00A10016	
IO_CT2_SMODE	00A10018	
IO_EXT_RX	00A1001A	
IO_EXT_TX	00A1001C	
IO_EXT_SMODE	00A1001E	
IO_RAMMODE	00A11000	
IO_Z80BUS	00A11100	
IO_Z80RES	00A11200	
IO_TMSS	00A14000	
VDP_DATA	00C00000	
VDP__DATA	00C00002	
VDP_CTRL	00C00004	
VDP__CTRL	00C00006	
VDP_CNTR	00C00008	
VDP__CNTR	00C0000A	
VDP___CNTR	00C0000C	
VDP____CNTR	00C0000E	
VDP_PSG	00C00011	
M68K_RAM	00FF0000	
DMA_Queue_List	00FF9C00	
Sprite_Table	00FFA200	
CurrentPalette	00FFA480	
VDP_Register_Set_1	00FFA500	
VDP_Register_Set_2	00FFA501	
Plane_A_Table_Address	00FFA502	
Window_Table_Address	00FFA503	
Plane_B_Table_Address	00FFA504	
Sprite_Table_Address	00FFA505	
Sprite_Pattern_Base_Adress_Mode_4_Or_Extended_VRAM_Mode_Only	00FFA506	
Background_Color	00FFA507	
Background_Scroll_X_Mode_4_Only	00FFA508	
Background_Scroll_Y_Mode_4_Only	00FFA509	
HBlank_Interrupt_Rate	00FFA50A	
Mode_Set_Register_3	00FFA50B	
Mode_Set_Register_4	00FFA50C	
HScroll_Table_Address	00FFA50D	
Reg_8E_Null	00FFA50E	
Autoincrement	00FFA50F	
Tilemap_Size	00FFA510	
Window_X_Division	00FFA511	
Window_Y_Division	00FFA512	
PlaneAAddress?	00FFA51A	
PlaneBAddress?	00FFA51C	
VBLANK_ROUTINE??	00FFA528	
NextDMA_freeslot	00FFA53A	
Font_VramLoc	00FFA548	
FontColorPri	00FFA54A	
LevelBlockPtr	00FFA55C	
PaletteROMptr	00FFA560	
Pointer_Tiny_Object_Sprite_Defs?	00FFA564	
Pointer_Overlay_Blocks?	00FFA568	
Level_Block_Level_Offset	00FFA56C	
Pointer_Level_Group	00FFA570	
Pad2_HeldState	00FFA584	
Pad1_HeldState	00FFA585	
Level_Width_Copy	00FFA7A8	
Level_Height_Copy	00FFA7AC	
Dynamic_Difficulty_Bitwise	00FFA7BC	
Current_Level	00FFA7D0	
Pointer_LevelHeader	00FFA7D2	
Ecco_Head_Obj_Base	00FFA8CC	
Ecco_Head_Obj_X	00FFA8F0	
Ecco_Head_Obj_Y	00FFA8F4	
Ecco_Head_Obj_Left_Sensor_X	00FFA8F8	
Ecco_Head_Obj_Left_Sensor_Y	00FFA8FC	
Ecco_Head_Obj_Right_Sensor_X	00FFA900	
Ecco_Head_Obj_Right_Sensor_Y	00FFA904	
Ecco_Tail_Obj_Base	00FFA94C	
Ecco_Tail_Obj_X	00FFA970	
Ecco_Tail_Obj_Y	00FFA974	
Ecco_Tail_Obj_Left_Sensor_X	00FFA978	
Ecco_Tail_Obj_Left_Sensor_Y	00FFA97C	
Ecco_Tail_Obj_Right_Sensor_X	00FFA980	
